index,ion_index,energy,s,p,d
427,Ba,-39.7335,0.0,0.0,0.0
428,Ba,-39.7137,0.0,0.0,0.0
429,Ba,-39.6940,0.0,0.0,0.0
430,Ba,-39.6742,0.0,0.0,0.0
431,Ba,-39.6545,0.0,0.0,0.0
432,Ba,-39.6347,0.0,0.0,0.0
433,Ba,-39.6150,0.0,0.0,0.0
434,Ba,-39.5953,0.0,0.0,0.0
435,Ba,-39.5755,0.0,0.0,0.0
436,Ba,-39.5558,0.0,0.0,0.0
437,Ba,-39.5360,0.0,0.0,0.0
438,Ba,-39.5163,0.0,0.0,0.0
439,Ba,-39.4965,0.0,0.0,0.0
440,Ba,-39.4768,0.0,0.0,0.0
441,Ba,-39.4570,0.0,0.0,0.0
442,Ba,-39.4373,0.0,0.0,0.0
443,Ba,-39.4176,0.0,0.0,0.0
444,Ba,-39.3978,0.0,0.0,0.0
445,Ba,-39.3781,0.0,0.0,0.0
446,Ba,-39.3583,0.0,0.0,0.0
447,Ba,-39.3386,0.0,0.0,0.0
448,Ba,-39.3188,0.0,0.0,0.0
449,Ba,-39.2991,0.0,0.0,0.0
450,Ba,-39.2794,0.0,0.0,0.0
451,Ba,-39.2596,0.0,0.0,0.0
452,Ba,-39.2399,0.0,0.0,0.0
453,Ba,-39.2201,0.0,0.0,0.0
454,Ba,-39.2004,0.0,0.0,0.0
455,Ba,-39.1806,0.0,0.0,0.0
456,Ba,-39.1609,0.0,0.0,0.0
457,Ba,-39.1411,0.0,0.0,0.0
458,Ba,-39.1214,0.0,0.0,0.0
459,Ba,-39.1017,0.0,0.0,0.0
460,Ba,-39.0819,0.0,0.0,0.0
461,Ba,-39.0622,0.0,0.0,0.0
462,Ba,-39.0424,0.0,0.0,0.0
463,Ba,-39.0227,0.0,0.0,0.0
464,Ba,-39.0029,0.0,0.0,0.0
465,Ba,-38.9832,0.0,0.0,0.0
466,Ba,-38.9634,0.0,0.0,0.0
467,Ba,-38.9437,0.0,0.0,0.0
468,Ba,-38.9240,0.0,0.0,0.0
469,Ba,-38.9042,0.0,0.0,0.0
470,Ba,-38.8845,0.0,0.0,0.0
471,Ba,-38.8647,0.0,0.0,0.0
472,Ba,-38.8450,0.0,0.0,0.0
473,Ba,-38.8252,0.0,0.0,0.0
474,Ba,-38.8055,0.0,0.0,0.0
475,Ba,-38.7858,0.0,0.0,0.0
476,Ba,-38.7660,0.0,0.0,0.0
477,Ba,-38.7463,0.0,0.0,0.0
478,Ba,-38.7265,0.0,0.0,0.0
479,Ba,-38.7068,0.0,0.0,0.0
480,Ba,-38.6870,0.0,0.0,0.0
481,Ba,-38.6673,0.0,0.0,0.0
482,Ba,-38.6475,0.0,0.0,0.0
483,Ba,-38.6278,0.0,0.0,0.0
484,Ba,-38.6081,0.0,0.0,0.0
485,Ba,-38.5883,0.0,0.0,0.0
486,Ba,-38.5686,0.0,0.0,0.0
487,Ba,-38.5488,0.0,0.0,0.0
488,Ba,-38.5291,0.0,0.0,0.0
489,Ba,-38.5093,0.0,0.0,0.0
490,Ba,-38.4896,0.0,0.0,0.0
491,Ba,-38.4699,0.0,0.0,0.0
492,Ba,-38.4501,0.0,0.0,0.0
493,Ba,-38.4304,0.0,0.0,0.0
494,Ba,-38.4106,0.0,0.0,0.0
495,Ba,-38.3909,0.0,0.0,0.0
496,Ba,-38.3711,0.0,0.0,0.0
497,Ba,-38.3514,0.0,0.0,0.0
498,Ba,-38.3316,0.0,0.0,0.0
499,Ba,-38.3119,0.0,0.0,0.0
500,Ba,-38.2922,0.0,0.0,0.0
501,Ba,-38.2724,0.0,0.0,0.0
502,Ba,-38.2527,0.0,0.0,0.0
503,Ba,-38.2329,0.0,0.0,0.0
504,Ba,-38.2132,0.0,0.0,0.0
505,Ba,-38.1934,0.0,0.0,0.0
506,Ba,-38.1737,0.0,0.0,0.0
507,Ba,-38.1539,0.0,0.0,0.0
508,Ba,-38.1342,0.0,0.0,0.0
509,Ba,-38.1145,0.0,0.0,0.0
510,Ba,-38.0947,0.0,0.0,0.0
511,Ba,-38.0750,0.0,0.0,0.0
512,Ba,-38.0552,0.0,0.0,0.0
513,Ba,-38.0355,0.0,0.0,0.0
514,Ba,-38.0157,0.0,0.0,0.0
515,Ba,-37.9960,0.0,0.0,0.0
516,Ba,-37.9763,0.0,0.0,0.0
517,Ba,-37.9565,0.0,0.0,0.0
518,Ba,-37.9368,0.0,0.0,0.0
519,Ba,-37.9170,0.0,0.0,0.0
520,Ba,-37.8973,0.0,0.0,0.0
521,Ba,-37.8775,0.0,0.0,0.0
522,Ba,-37.8578,0.0,0.0,0.0
523,Ba,-37.8380,0.0,0.0,0.0
524,Ba,-37.8183,0.0,0.0,0.0
525,Ba,-37.7986,0.0,0.0,0.0
526,Ba,-37.7788,0.0,0.0,0.0
527,Ba,-37.7591,0.0,0.0,0.0
528,Ba,-37.7393,0.0,0.0,0.0
529,Ba,-37.7196,0.0,0.0,0.0
530,Ba,-37.6998,0.0,0.0,0.0
531,Ba,-37.6801,0.0,0.0,0.0
532,Ba,-37.6603,0.0,0.0,0.0
533,Ba,-37.6406,0.0,0.0,0.0
534,Ba,-37.6209,0.0,0.0,0.0
535,Ba,-37.6011,0.0,0.0,0.0
536,Ba,-37.5814,0.0,0.0,0.0
537,Ba,-37.5616,0.0,0.0,0.0
538,Ba,-37.5419,0.0,0.0,0.0
539,Ba,-37.5221,0.0,0.0,0.0
540,Ba,-37.5024,0.0,0.0,0.0
541,Ba,-37.4827,0.0,0.0,0.0
542,Ba,-37.4629,0.0,0.0,0.0
543,Ba,-37.4432,0.0,0.0,0.0
544,Ba,-37.4234,0.0,0.0,0.0
545,Ba,-37.4037,0.0,0.0,0.0
546,Ba,-37.3839,0.0,0.0,0.0
547,Ba,-37.3642,0.0,0.0,0.0
548,Ba,-37.3444,0.0,0.0,0.0
549,Ba,-37.3247,0.0,0.0,0.0
550,Ba,-37.3050,0.0,0.0,0.0
551,Ba,-37.2852,0.0,0.0,0.0
552,Ba,-37.2655,0.0,0.0,0.0
553,Ba,-37.2457,0.0,0.0,0.0
554,Ba,-37.2260,0.0,0.0,0.0
555,Ba,-37.2062,0.0,0.0,0.0
556,Ba,-37.1865,0.0,0.0,0.0
557,Ba,-37.1668,0.0,0.0,0.0
558,Ba,-37.1470,0.0,0.0,0.0
559,Ba,-37.1273,0.0,0.0,0.0
560,Ba,-37.1075,0.0,0.0,0.0
561,Ba,-37.0878,0.0,0.0,0.0
562,Ba,-37.0680,0.0,0.0,0.0
563,Ba,-37.0483,0.0,0.0,0.0
564,Ba,-37.0285,0.0,0.0,0.0
565,Ba,-37.0088,0.0,0.0,0.0
566,Ba,-36.9891,0.0,0.0,0.0
567,Ba,-36.9693,0.0,0.0,0.0
568,Ba,-36.9496,0.0,0.0,0.0
569,Ba,-36.9298,0.0,0.0,0.0
570,Ba,-36.9101,0.0,0.0,0.0
571,Ba,-36.8903,0.0,0.0,0.0
572,Ba,-36.8706,0.0,0.0,0.0
573,Ba,-36.8508,0.0,0.0,0.0
574,Ba,-36.8311,0.0,0.0,0.0
575,Ba,-36.8114,0.0,0.0,0.0
576,Ba,-36.7916,0.0,0.0,0.0
577,Ba,-36.7719,0.0,0.0,0.0
578,Ba,-36.7521,0.0,0.0,0.0
579,Ba,-36.7324,0.0,0.0,0.0
