index,ion_index,energy,s,p,d
2090,Ba,-46.2884,0.0,0.0,0.0
8089,Zr,-46.2687,0.0,0.0,0.0
5089,S,-46.2687,0.0,0.0,0.0
2089,Ba,-46.2687,0.0,0.0,0.0
5088,S,-46.249,0.0,0.0,0.0
8088,Zr,-46.249,0.0,0.0,0.0
2088,Ba,-46.249,0.0,0.0,0.0
2087,Ba,-46.2292,0.0,0.0,0.0
8087,Zr,-46.2292,0.0,0.0,0.0
5087,S,-46.2292,0.0,0.0,0.0
8086,Zr,-46.2095,0.0,0.0,0.0
2086,Ba,-46.2095,0.0,0.0,0.0
5086,S,-46.2095,0.0,0.0,0.0
5085,S,-46.1897,0.0,0.0,0.0
8085,Zr,-46.1897,0.0,0.0,0.0
2085,Ba,-46.1897,0.0,0.0,0.0
5084,S,-46.17,0.0,0.0,0.0
8084,Zr,-46.17,0.0,0.0,0.0
2084,Ba,-46.17,0.0,0.0,0.0
5083,S,-46.1502,0.0,0.0,0.0
2083,Ba,-46.1502,0.0,0.0,0.0
8083,Zr,-46.1502,0.0,0.0,0.0
8082,Zr,-46.1305,0.0,0.0,0.0
5082,S,-46.1305,0.0,0.0,0.0
2082,Ba,-46.1305,0.0,0.0,0.0
8081,Zr,-46.1107,0.0,0.0,0.0
5081,S,-46.1107,0.0,0.0,0.0
2081,Ba,-46.1107,0.0,0.0,0.0
5080,S,-46.091,0.0,0.0,0.0
2080,Ba,-46.091,0.0,0.0,0.0
8080,Zr,-46.091,0.0,0.0,0.0
5079,S,-46.0713,0.0,0.0,0.0
8079,Zr,-46.0713,0.0,0.0,0.0
2079,Ba,-46.0713,0.0,0.0,0.0
2078,Ba,-46.0515,0.0,0.0,0.0
8078,Zr,-46.0515,0.0,0.0,0.0
5078,S,-46.0515,0.0,0.0,0.0
2077,Ba,-46.0318,0.0,0.0,0.0
5077,S,-46.0318,0.0,0.0,0.0
8077,Zr,-46.0318,0.0,0.0,0.0
8076,Zr,-46.012,0.0,0.0,0.0
2076,Ba,-46.012,0.0,0.0,0.0
5076,S,-46.012,0.0,0.0,0.0
5075,S,-45.9923,0.0,0.0,0.0
8075,Zr,-45.9923,0.0,0.0,0.0
2075,Ba,-45.9923,0.0,0.0,0.0
5074,S,-45.9725,0.0,0.0,0.0
2074,Ba,-45.9725,0.0,0.0,0.0
8074,Zr,-45.9725,0.0,0.0,0.0
5073,S,-45.9528,0.0,0.0,0.0
8073,Zr,-45.9528,0.0,0.0,0.0
2073,Ba,-45.9528,0.0,0.0,0.0
8072,Zr,-45.933,0.0,0.0,0.0
2072,Ba,-45.933,0.0,0.0,0.0
5072,S,-45.933,0.0,0.0,0.0
5071,S,-45.9133,0.0,0.0,0.0
2071,Ba,-45.9133,0.0,0.0,0.0
8071,Zr,-45.9133,0.0,0.0,0.0
5070,S,-45.8936,0.0,0.0,0.0
8070,Zr,-45.8936,0.0,0.0,0.0
2070,Ba,-45.8936,0.0,0.0,0.0
5069,S,-45.8738,0.0,0.0,0.0
8069,Zr,-45.8738,0.0,0.0,0.0
2069,Ba,-45.8738,0.0,0.0,0.0
2068,Ba,-45.8541,0.0,0.0,0.0
5068,S,-45.8541,0.0,0.0,0.0
8068,Zr,-45.8541,0.0,0.0,0.0
8067,Zr,-45.8343,0.0,0.0,0.0
2067,Ba,-45.8343,0.0,0.0,0.0
5067,S,-45.8343,0.0,0.0,0.0
2066,Ba,-45.8146,0.0,0.0,0.0
8066,Zr,-45.8146,0.0,0.0,0.0
5066,S,-45.8146,0.0,0.0,0.0
5065,S,-45.7948,0.0,0.0,0.0
8065,Zr,-45.7948,0.0,0.0,0.0
2065,Ba,-45.7948,0.0,0.0,0.0
8064,Zr,-45.7751,0.0,0.0,0.0
5064,S,-45.7751,0.0,0.0,0.0
2064,Ba,-45.7751,0.0,0.0,0.0
2063,Ba,-45.7554,0.0,0.0,0.0
5063,S,-45.7554,0.0,0.0,0.0
8063,Zr,-45.7554,0.0,0.0,0.0
5062,S,-45.7356,0.0,0.0,0.0
2062,Ba,-45.7356,0.0,0.0,0.0
8062,Zr,-45.7356,0.0,0.0,0.0
2061,Ba,-45.7159,0.0,0.0,0.0
8061,Zr,-45.7159,0.0,0.0,0.0
5061,S,-45.7159,0.0,0.0,0.0
5060,S,-45.6961,0.0,0.0,0.0
2060,Ba,-45.6961,0.0,0.0,0.0
8060,Zr,-45.6961,0.0,0.0,0.0
8059,Zr,-45.6764,0.0,0.0,0.0
5059,S,-45.6764,0.0,0.0,0.0
2059,Ba,-45.6764,0.0,0.0,0.0
8058,Zr,-45.6566,0.0,0.0,0.0
5058,S,-45.6566,0.0,0.0,0.0
2058,Ba,-45.6566,0.0,0.0,0.0
2057,Ba,-45.6369,0.0,0.0,0.0
8057,Zr,-45.6369,0.0,0.0,0.0
5057,S,-45.6369,0.0,0.0,0.0
5056,S,-45.6171,0.0,0.0,0.0
2056,Ba,-45.6171,0.0,0.0,0.0
8056,Zr,-45.6171,0.0,0.0,0.0
2055,Ba,-45.5974,0.0,0.0,0.0
8055,Zr,-45.5974,0.0,0.0,0.0
5055,S,-45.5974,0.0,0.0,0.0
5054,S,-45.5777,0.0,0.0,0.0
2054,Ba,-45.5777,0.0,0.0,0.0
8054,Zr,-45.5777,0.0,0.0,0.0
2053,Ba,-45.5579,0.0,0.0,0.0
8053,Zr,-45.5579,0.0,0.0,0.0
5053,S,-45.5579,0.0,0.0,0.0
2052,Ba,-45.5382,0.0,0.0,0.0
5052,S,-45.5382,0.0,0.0,0.0
8052,Zr,-45.5382,0.0,0.0,0.0
5051,S,-45.5184,0.0,0.0,0.0
2051,Ba,-45.5184,0.0,0.0,0.0
8051,Zr,-45.5184,0.0,0.0,0.0
5050,S,-45.4987,0.0,0.0,0.0
2050,Ba,-45.4987,0.0,0.0,0.0
8050,Zr,-45.4987,0.0,0.0,0.0
2049,Ba,-45.4789,0.0,0.0,0.0
5049,S,-45.4789,0.0,0.0,0.0
8049,Zr,-45.4789,0.0,0.0,0.0
8048,Zr,-45.4592,0.0,0.0,0.0
2048,Ba,-45.4592,0.0,0.0,0.0
5048,S,-45.4592,0.0,0.0,0.0
5047,S,-45.4395,0.0,0.0,0.0
2047,Ba,-45.4395,0.0,0.0,0.0
8047,Zr,-45.4395,0.0,0.0,0.0
5046,S,-45.4197,0.0,0.0,0.0
2046,Ba,-45.4197,0.0,0.0,0.0
8046,Zr,-45.4197,0.0,0.0,0.0
5045,S,-45.4,0.0,0.0,0.0
2045,Ba,-45.4,0.0,0.0,0.0
8045,Zr,-45.4,0.0,0.0,0.0
8044,Zr,-45.3802,0.0,0.0,0.0
5044,S,-45.3802,0.0,0.0,0.0
2044,Ba,-45.3802,0.0,0.0,0.0
5043,S,-45.3605,0.0,0.0,0.0
2043,Ba,-45.3605,0.0,0.0,0.0
8043,Zr,-45.3605,0.0,0.0,0.0
8042,Zr,-45.3407,0.0,0.0,0.0
5042,S,-45.3407,0.0,0.0,0.0
2042,Ba,-45.3407,0.0,0.0,0.0
8041,Zr,-45.321,0.0,0.0,0.0
2041,Ba,-45.321,0.0,0.0,0.0
5041,S,-45.321,0.0,0.0,0.0
2040,Ba,-45.3012,0.0,0.0,0.0
8040,Zr,-45.3012,0.0,0.0,0.0
5040,S,-45.3012,0.0,0.0,0.0
2039,Ba,-45.2815,0.0,0.0,0.0
8039,Zr,-45.2815,0.0,0.0,0.0
